Na,O,Si,LOAD,HARDNESS
16.666666666666664,58.333333333333336,25.0,0.1,6.07295693
16.666666666666664,58.333333333333336,25.0,0.2,5.240546105
16.666666666666664,58.333333333333336,25.0,0.3,4.909166423
16.666666666666664,58.333333333333336,25.0,0.5,4.609346258
16.666666666666664,58.333333333333336,25.0,1.0,4.400864611
16.666666666666664,58.333333333333336,25.0,2.0,4.104456003
16.666666666666664,58.333333333333336,25.0,5.0,4.011187639
