B,Na,O,Si,LOAD,HARDNESS
20.0,13.333333333333334,56.666666666666664,10.0,0.1,9.544524391
20.0,13.333333333333334,56.666666666666664,10.0,0.2,8.704410865
20.0,13.333333333333334,56.666666666666664,10.0,0.3,7.720291639
20.0,13.333333333333334,56.666666666666664,10.0,0.5,6.97524918
20.0,13.333333333333334,56.666666666666664,10.0,1.0,6.192623845
20.0,13.333333333333334,56.666666666666664,10.0,2.0,5.583838797
20.0,13.333333333333334,56.666666666666664,10.0,5.0,5.446562657
